url,race
https://www.formula1.com/en/results/2020/races/1045/austria/race-result,Austria
https://www.formula1.com/en/results/2020/races/1046/styria/race-result,Styria
https://www.formula1.com/en/results/2020/races/1047/hungary/race-result,Hungary
https://www.formula1.com/en/results/2020/races/1048/great-britain/race-result,Great Britain
https://www.formula1.com/en/results/2020/races/1049/70th-anniversary/race-result,70th Anniversary
https://www.formula1.com/en/results/2020/races/1050/spain/race-result,Spain
https://www.formula1.com/en/results/2020/races/1051/belgium/race-result,Belgium
https://www.formula1.com/en/results/2020/races/1052/italy/race-result,Italy
https://www.formula1.com/en/results/2020/races/1053/tuscany/race-result,Tuscany
https://www.formula1.com/en/results/2020/races/1054/russia/race-result,Russia
https://www.formula1.com/en/results/2020/races/1055/eifel/race-result,Eifel
https://www.formula1.com/en/results/2020/races/1056/portugal/race-result,Portugal
https://www.formula1.com/en/results/2020/races/1057/emilia-romagna/race-result,Emilia-Romagna
https://www.formula1.com/en/results/2020/races/1058/turkey/race-result,Turkey
https://www.formula1.com/en/results/2020/races/1059/bahrain/race-result,Bahrain
https://www.formula1.com/en/results/2020/races/1060/sakhir/race-result,Sakhir
https://www.formula1.com/en/results/2020/races/1061/abu-dhabi/race-result,Abu Dhabi
