url,race
https://www.formula1.com/en/results/2026/races/1279/australia/race-result,Australia
https://www.formula1.com/en/results/2026/races/1280/china/race-result,China
https://www.formula1.com/en/results/2026/races/1281/japan/race-result,Japan
https://www.formula1.com/en/results/2026/races/1284/miami/race-result,Miami
https://www.formula1.com/en/results/2026/races/1285/canada/race-result,Canada
https://www.formula1.com/en/results/2026/races/1286/monaco/race-result,Monaco
https://www.formula1.com/en/results/2026/races/1287/barcelona-catalunya/race-result,Barcelona-Catalunya
https://www.formula1.com/en/results/2026/races/1288/austria/race-result,Austria
https://www.formula1.com/en/results/2026/races/1289/great-britain/race-result,Great Britain
https://www.formula1.com/en/results/2026/races/1290/belgium/race-result,Belgium
https://www.formula1.com/en/results/2026/races/1291/hungary/race-result,Hungary
https://www.formula1.com/en/results/2026/races/1292/netherlands/race-result,Netherlands
https://www.formula1.com/en/results/2026/races/1293/italy/race-result,Italy
https://www.formula1.com/en/results/2026/races/1294/spain/race-result,Spain
https://www.formula1.com/en/results/2026/races/1295/azerbaijan/race-result,Azerbaijan
https://www.formula1.com/en/results/2026/races/1296/singapore/race-result,Singapore
https://www.formula1.com/en/results/2026/races/1297/united-states/race-result,United States
https://www.formula1.com/en/results/2026/races/1298/mexico/race-result,Mexico
https://www.formula1.com/en/results/2026/races/1299/brazil/race-result,Brazil
https://www.formula1.com/en/results/2026/races/1300/las-vegas/race-result,Las Vegas
https://www.formula1.com/en/results/2026/races/1301/qatar/race-result,Qatar
https://www.formula1.com/en/results/2026/races/1302/abu-dhabi/race-result,Abu Dhabi
