url,race
https://www.formula1.com/en/results/2021/races/1064/bahrain/race-result,Bahrain
https://www.formula1.com/en/results/2021/races/1065/emilia-romagna/race-result,Emilia-Romagna
https://www.formula1.com/en/results/2021/races/1066/portugal/race-result,Portugal
https://www.formula1.com/en/results/2021/races/1086/spain/race-result,Spain
https://www.formula1.com/en/results/2021/races/1067/monaco/race-result,Monaco
https://www.formula1.com/en/results/2021/races/1068/azerbaijan/race-result,Azerbaijan
https://www.formula1.com/en/results/2021/races/1070/france/race-result,France
https://www.formula1.com/en/results/2021/races/1092/styria/race-result,Styria
https://www.formula1.com/en/results/2021/races/1071/austria/race-result,Austria
https://www.formula1.com/en/results/2021/races/1072/great-britain/race-result,Great Britain
https://www.formula1.com/en/results/2021/races/1073/hungary/race-result,Hungary
https://www.formula1.com/en/results/2021/races/1074/belgium/race-result,Belgium
https://www.formula1.com/en/results/2021/races/1075/netherlands/race-result,Netherlands
https://www.formula1.com/en/results/2021/races/1076/italy/race-result,Italy
https://www.formula1.com/en/results/2021/races/1077/russia/race-result,Russia
https://www.formula1.com/en/results/2021/races/1078/turkey/race-result,Turkey
https://www.formula1.com/en/results/2021/races/1102/united-states/race-result,United States
https://www.formula1.com/en/results/2021/races/1103/mexico/race-result,Mexico
https://www.formula1.com/en/results/2021/races/1104/brazil/race-result,Brazil
https://www.formula1.com/en/results/2021/races/1105/qatar/race-result,Qatar
https://www.formula1.com/en/results/2021/races/1106/saudi-arabia/race-result,Saudi Arabia
https://www.formula1.com/en/results/2021/races/1107/abu-dhabi/race-result,Abu Dhabi
