url,race,status
https://www.formula1.com/en/results/2025/races/1254/australia/race-result,Australia,
https://www.formula1.com/en/results/2025/races/1255/china/race-result,China,
https://www.formula1.com/en/results/2025/races/1256/japan/race-result,Japan,
https://www.formula1.com/en/results/2025/races/1257/bahrain/race-result,Bahrain,
https://www.formula1.com/en/results/2025/races/1258/saudi-arabia/race-result,Saudi Arabia,
https://www.formula1.com/en/results/2025/races/1259/miami/race-result,Miami,
https://www.formula1.com/en/results/2025/races/1260/emilia-romagna/race-result,Emilia-Romagna,
https://www.formula1.com/en/results/2025/races/1261/monaco/race-result,Monaco,
https://www.formula1.com/en/results/2025/races/1262/spain/race-result,Spain,
https://www.formula1.com/en/results/2025/races/1263/canada/race-result,Canada,
https://www.formula1.com/en/results/2025/races/1264/austria/race-result,Austria,
https://www.formula1.com/en/results/2025/races/1277/great-britain/race-result,Great Britain,
https://www.formula1.com/en/results/2025/races/1265/belgium/race-result,Belgium,
https://www.formula1.com/en/results/2025/races/1266/hungary/race-result,Hungary,
https://www.formula1.com/en/results/2025/races/1267/netherlands/race-result,Netherlands,
https://www.formula1.com/en/results/2025/races/1268/italy/race-result,Italy,
https://www.formula1.com/en/results/2025/races/1269/azerbaijan/race-result,Azerbaijan,
https://www.formula1.com/en/results/2025/races/1270/singapore/race-result,Singapore,
https://www.formula1.com/en/results/2025/races/1271/united-states/race-result,United States,
https://www.formula1.com/en/results/2025/races/1272/mexico/race-result,Mexico,
https://www.formula1.com/en/results/2025/races/1273/brazil/race-result,Brazil,
https://www.formula1.com/en/results/2025/races/1274/las-vegas/race-result,Las Vegas,
https://www.formula1.com/en/results/2025/races/1275/qatar/race-result,Qatar,
https://www.formula1.com/en/results/2025/races/1276/abu-dhabi/race-result,Abu Dhabi,
