url,race,status
https://www.formula1.com/en/results/2024/races/1229/bahrain/race-result,Bahrain,
https://www.formula1.com/en/results/2024/races/1230/saudi-arabia/race-result,Saudi Arabia,
https://www.formula1.com/en/results/2024/races/1231/australia/race-result,Australia,
https://www.formula1.com/en/results/2024/races/1232/japan/race-result,Japan,
https://www.formula1.com/en/results/2024/races/1233/china/race-result,China,
https://www.formula1.com/en/results/2024/races/1234/miami/race-result,Miami,
https://www.formula1.com/en/results/2024/races/1235/emilia-romagna/race-result,Emilia-Romagna,
https://www.formula1.com/en/results/2024/races/1236/monaco/race-result,Monaco,
https://www.formula1.com/en/results/2024/races/1237/canada/race-result,Canada,
https://www.formula1.com/en/results/2024/races/1238/spain/race-result,Spain,
https://www.formula1.com/en/results/2024/races/1239/austria/race-result,Austria,
https://www.formula1.com/en/results/2024/races/1240/great-britain/race-result,Great Britain,
https://www.formula1.com/en/results/2024/races/1241/hungary/race-result,Hungary,
https://www.formula1.com/en/results/2024/races/1242/belgium/race-result,Belgium,
https://www.formula1.com/en/results/2024/races/1243/netherlands/race-result,Netherlands,
https://www.formula1.com/en/results/2024/races/1244/italy/race-result,Italy,
https://www.formula1.com/en/results/2024/races/1245/azerbaijan/race-result,Azerbaijan,
https://www.formula1.com/en/results/2024/races/1246/singapore/race-result,Singapore,
https://www.formula1.com/en/results/2024/races/1247/united-states/race-result,United States,
https://www.formula1.com/en/results/2024/races/1248/mexico/race-result,Mexico,
https://www.formula1.com/en/results/2024/races/1249/brazil/race-result,Brazil,
https://www.formula1.com/en/results/2024/races/1250/las-vegas/race-result,Las Vegas,
https://www.formula1.com/en/results/2024/races/1251/qatar/race-result,Qatar,
https://www.formula1.com/en/results/2024/races/1252/abu-dhabi/race-result,Abu Dhabi,
